AlertID,ClaimID,PolicyID,DetectionDate,FraudType,ModelScore,InvestigationStatus,Outcome
12000000,8002961,5014353,2024-09-21,Inflated Repair,0.186,Open,Confirmed
12000001,8016166,5025850,2024-11-10,Identity Theft,0.154,Open,Confirmed
12000002,8002681,5017106,2023-08-14,Staged Accident,0.777,InProgress,Confirmed
12000003,8028466,5010736,2021-04-03,Upcoding,0.626,Closed,NotConfirmed
12000004,8033568,5001614,2025-04-08,Identity Theft,0.126,Closed,NotConfirmed
12000005,8029410,5023512,2025-06-03,Identity Theft,0.736,InProgress,Confirmed
12000006,8007129,5010857,2024-05-17,Duplicate Claim,0.85,Open,Inconclusive
12000007,8013819,5028413,2025-08-22,Inflated Repair,0.271,Open,NotConfirmed
12000008,8010213,5002586,2022-07-28,Provider Collusion,0.642,Closed,NotConfirmed
12000009,8004872,5016697,2023-07-19,Upcoding,0.138,InProgress,Inconclusive
12000010,8011280,5012320,2024-08-24,Duplicate Claim,0.373,Closed,Confirmed
12000011,8024489,5008881,2022-09-22,Staged Accident,0.799,InProgress,NotConfirmed
12000012,8028807,5029209,2024-07-18,Upcoding,0.648,InProgress,Confirmed
12000013,8039698,5028954,2022-10-14,Upcoding,0.803,InProgress,NotConfirmed
12000014,8021797,5005335,2022-08-04,Inflated Repair,0.116,Open,NotConfirmed
12000015,8007934,5007935,2020-08-03,Provider Collusion,0.316,Open,NotConfirmed
12000016,8006893,5020216,2022-12-05,Inflated Repair,0.54,InProgress,NotConfirmed
12000017,8041538,5029531,2025-12-30,Staged Accident,0.509,InProgress,Confirmed
12000018,8025941,5028944,2022-11-18,Staged Accident,0.677,Open,NotConfirmed
12000019,8021695,5023576,2022-01-03,Duplicate Claim,0.214,InProgress,NotConfirmed
12000020,8042341,5022770,2020-10-22,Inflated Repair,0.779,InProgress,NotConfirmed
12000021,8027312,5003000,2022-10-14,Provider Collusion,0.622,InProgress,Inconclusive
12000022,8037280,5021885,2025-04-28,Duplicate Claim,0.62,Open,NotConfirmed
12000023,8026626,5024801,2022-03-14,Inflated Repair,0.227,Closed,Confirmed
12000024,8027566,5010913,2021-10-25,Staged Accident,0.286,Open,Inconclusive
12000025,8014607,5028752,2021-08-29,Identity Theft,0.755,Open,NotConfirmed
12000026,8011655,5013773,2026-05-15,Provider Collusion,0.357,InProgress,Confirmed
12000027,8031523,5021593,2022-07-02,Provider Collusion,0.311,Open,NotConfirmed
12000028,8041298,5011748,2024-01-11,Staged Accident,0.648,Open,NotConfirmed
12000029,8002856,5012660,2024-05-30,Staged Accident,0.814,InProgress,Inconclusive
12000030,8006407,5004256,2021-10-30,Staged Accident,0.629,Open,Confirmed
12000031,8026648,5029636,2023-12-26,Identity Theft,0.544,Open,Confirmed
12000032,8023896,5016943,2025-09-21,Inflated Repair,0.204,InProgress,Confirmed
12000033,8009905,5007709,2024-08-29,Identity Theft,0.504,InProgress,Confirmed
12000034,8000109,5000520,2021-02-16,Inflated Repair,0.692,Closed,Inconclusive
12000035,8041579,5015441,2025-08-30,Inflated Repair,0.168,Open,Confirmed
12000036,8042713,5025016,2021-11-24,Duplicate Claim,0.179,InProgress,NotConfirmed
12000037,8038204,5004589,2024-12-24,Provider Collusion,0.933,Closed,Confirmed
12000038,8006384,5015415,2025-07-20,Identity Theft,0.877,InProgress,Confirmed
12000039,8006638,5003892,2025-02-02,Inflated Repair,0.934,InProgress,NotConfirmed
12000040,8029457,5015533,2023-12-05,Provider Collusion,0.62,InProgress,Confirmed
12000041,8039411,5004227,2024-05-21,Staged Accident,0.426,InProgress,Inconclusive
12000042,8034571,5029623,2021-03-10,Staged Accident,0.916,Open,Confirmed
12000043,8008648,5007022,2024-04-12,Staged Accident,0.299,InProgress,Confirmed
12000044,8011891,5018593,2022-10-16,Duplicate Claim,0.166,Closed,Inconclusive
12000045,8042871,5017256,2020-10-01,Identity Theft,0.202,InProgress,Confirmed
12000046,8027937,5025678,2022-07-25,Provider Collusion,0.118,InProgress,Confirmed
12000047,8023408,5001568,2023-02-27,Provider Collusion,0.887,Closed,NotConfirmed
12000048,8044705,5020031,2024-10-09,Provider Collusion,0.69,Open,Confirmed
12000049,8028007,5010651,2026-05-16,Provider Collusion,0.73,Closed,NotConfirmed
12000050,8018756,5005912,2023-11-01,Staged Accident,0.183,Open,Inconclusive
12000051,8040735,5025887,2025-11-09,Identity Theft,0.737,Closed,Inconclusive
12000052,8010456,5011283,2022-10-05,Upcoding,0.575,Closed,NotConfirmed
12000053,8011823,5006309,2026-05-09,Upcoding,0.201,InProgress,Confirmed
12000054,8026926,5011834,2024-08-10,Inflated Repair,0.339,InProgress,Inconclusive
