PolicyID,CustomerID,ProductType,SumAssured,AnnualPremium,StartDate,EndDate,TenureMonths,Status,RegionID
5000000,207396,Health,31942.27,2824.15,2023-11-30,2024-11-24,12,Active,6196
5000001,201825,Health,50139.52,1631.29,2024-09-03,2025-08-29,12,Active,6092
5000002,210725,Health,50455.13,3009.05,2021-07-03,2022-06-28,12,Expired,6090
5000003,203576,Auto,9982.11,1065.69,2022-04-25,2023-04-20,12,Active,6031
5000004,202084,Auto,22636.22,1033.86,2021-05-03,2022-04-28,12,Active,6095
5000005,203425,Health,55426.38,3962.82,2022-08-29,2023-08-24,12,Active,6054
5000006,214195,Health,45576.79,1223.24,2024-06-20,2025-06-15,12,Active,6066
5000007,210694,Auto,28468.3,2974.75,2025-08-01,2026-07-27,12,Active,6213
5000008,210337,PersonalAccident,92005.65,10845.21,2025-05-29,2026-05-24,12,Cancelled,6034
5000009,204623,Health,9347.79,769.55,2024-02-07,2025-02-01,12,Active,6067
5000010,206059,Property,408568.07,39318.5,2020-07-08,2021-07-03,12,Active,6211
5000011,212863,Auto,6144.64,690.15,2021-12-01,2022-11-26,12,Expired,6112
5000012,212426,Property,391614.84,10325.02,2024-08-12,2025-08-07,12,Lapsed,6042
5000013,206042,Health,20905.89,1271.29,2023-02-10,2024-02-05,12,Active,6024
5000014,214062,SME,199390.17,17061.97,2020-09-02,2021-08-28,12,Active,6026
5000015,213613,Auto,8770.55,611.53,2025-06-19,2026-06-14,12,Lapsed,6105
5000016,212696,Health,85123.04,9363.43,2022-09-26,2023-09-21,12,Active,6048
5000017,213606,Travel,40609.99,4660.48,2021-07-20,2022-01-16,6,Active,6171
5000018,205247,Health,53966.46,6423.03,2024-01-24,2025-01-18,12,Active,6207
5000019,209239,Auto,12254.09,988.83,2023-12-31,2024-12-25,12,Active,6047
5000020,205003,Travel,15932.0,1019.0,2023-05-26,2023-11-22,6,Active,6156
5000021,204184,PersonalAccident,50357.23,3084.26,2024-03-04,2025-02-27,12,Expired,6177
5000022,201979,Auto,15399.01,1657.48,2021-10-23,2022-10-18,12,Active,6184
5000023,205492,Auto,9568.29,1013.48,2021-09-16,2022-09-11,12,Active,6188
5000024,208409,Auto,2210.3,252.81,2023-05-24,2024-05-18,12,Active,6089
5000025,204948,Auto,7606.79,909.55,2023-07-17,2024-07-11,12,Active,6088
5000026,205870,Auto,26160.39,1086.92,2020-01-21,2021-01-15,12,Active,6107
5000027,200116,Travel,33778.03,3383.56,2022-03-14,2022-09-10,6,Cancelled,6214
5000028,208006,Health,56177.52,1390.74,2024-05-23,2025-05-18,12,Expired,6055
5000029,214757,Health,95694.56,8709.77,2025-02-20,2026-02-15,12,Active,6093
5000030,200983,Auto,8745.06,194.83,2021-01-05,2021-12-31,12,Active,6176
5000031,214069,Auto,19810.27,1348.54,2020-06-10,2021-06-05,12,Active,6048
5000032,200273,Health,86610.15,2198.86,2021-10-27,2022-10-22,12,Active,6057
5000033,213827,Auto,26157.55,2044.89,2022-12-17,2023-12-12,12,Active,6057
5000034,211053,Health,65964.34,6371.75,2020-10-18,2021-10-13,12,Active,6047
5000035,206946,Auto,22768.97,1516.81,2024-08-19,2025-08-14,12,Lapsed,6115
5000036,210373,PersonalAccident,59407.02,5762.35,2023-03-02,2024-02-25,12,Active,6081
5000037,213547,Auto,3933.67,244.33,2023-11-18,2024-11-12,12,Expired,6080
5000038,200292,Health,55320.75,6107.73,2022-01-17,2023-01-12,12,Active,6097
5000039,203671,Auto,4944.44,169.47,2022-04-23,2023-04-18,12,Active,6008
5000040,212111,Auto,4365.38,184.37,2021-02-12,2022-02-07,12,Active,6081
5000041,205495,Auto,11075.98,586.76,2025-04-19,2026-04-14,12,Active,6050
5000042,210784,Auto,9228.93,1019.97,2023-09-28,2024-09-22,12,Active,6002
5000043,207629,Property,467306.32,13066.51,2021-12-23,2022-12-18,12,Active,6145
5000044,204658,PersonalAccident,64113.58,7642.08,2023-02-14,2024-02-09,12,Active,6192
5000045,203462,Travel,12125.28,777.09,2021-04-05,2021-10-02,6,Active,6141
5000046,212743,Property,408355.43,25975.61,2021-11-02,2022-10-28,12,Active,6144
5000047,214612,Health,37176.54,1620.76,2021-06-07,2022-06-02,12,Active,6165
5000048,206164,Auto,20413.37,2004.99,2023-03-10,2024-03-04,12,Active,6107
5000049,211775,Auto,22148.29,829.55,2021-04-15,2022-04-10,12,Active,6108
5000050,214909,Property,64402.23,7537.84,2020-06-08,2021-06-03,12,Cancelled,6195
5000051,202331,Property,396238.55,17607.38,2020-08-08,2021-08-03,12,Expired,6193
5000052,203743,Auto,15251.64,1586.1,2023-01-09,2024-01-04,12,Expired,6207
5000053,202642,SME,294379.58,19885.06,2024-12-28,2025-12-23,12,Active,6129
5000054,212456,SME,157352.39,17157.12,2020-02-23,2021-02-17,12,Lapsed,6149
5000055,211119,Auto,12174.86,975.15,2022-07-01,2023-06-26,12,Active,6031
5000056,213027,Health,64406.83,6548.93,2024-10-31,2025-10-26,12,Active,6058
5000057,210250,Health,51695.06,3333.94,2022-03-30,2023-03-25,12,Active,6019
5000058,201080,Auto,10958.85,947.79,2024-10-06,2025-10-01,12,Active,6182
5000059,209891,Auto,15330.11,777.7,2024-11-09,2025-11-04,12,Expired,6160
5000060,214586,Auto,8801.99,483.02,2021-11-19,2022-11-14,12,Active,6157
5000061,211639,Health,82956.65,4649.27,2022-02-04,2023-01-30,12,Expired,6086
5000062,211624,Auto,13993.48,1209.72,2023-07-17,2024-07-11,12,Active,6142
5000063,207884,Auto,4699.1,431.13,2022-01-21,2023-01-16,12,Active,6174
5000064,205501,PersonalAccident,44947.37,2779.18,2022-11-22,2023-11-17,12,Active,6001
5000065,212679,Property,376268.21,40817.62,2025-02-17,2026-02-12,12,Active,6197
5000066,202352,Health,12615.22,1279.21,2023-05-28,2024-05-22,12,Active,6075
5000067,212054,SME,192728.65,6905.87,2023-09-08,2024-09-02,12,Active,6188
5000068,204625,Auto,11663.31,1206.61,2024-06-12,2025-06-07,12,Active,6191
5000069,208077,Auto,2988.45,258.97,2024-07-04,2025-06-29,12,Active,6173
5000070,205195,Auto,17157.72,944.9,2021-06-13,2022-06-08,12,Active,6204
5000071,206643,SME,48497.35,4945.76,2024-03-04,2025-02-27,12,Expired,6123
5000072,203378,Health,60327.08,6002.87,2021-08-12,2022-08-07,12,Active,6091
5000073,214419,Auto,28066.8,1821.14,2022-06-21,2023-06-16,12,Active,6172
5000074,206073,Health,10050.49,745.47,2023-10-14,2024-10-08,12,Active,6041
5000075,201006,PersonalAccident,56132.04,3104.82,2020-10-15,2021-10-10,12,Active,6065
5000076,205905,Auto,8167.82,169.26,2025-04-26,2026-04-21,12,Expired,6031
5000077,206122,Property,23565.6,2363.97,2023-05-11,2024-05-05,12,Active,6142
5000078,206851,Health,71508.35,5894.78,2020-08-25,2021-08-20,12,Active,6123
5000079,209722,Auto,12000.04,918.22,2023-09-21,2024-09-15,12,Active,6114
5000080,201750,Travel,21317.33,1636.77,2022-08-29,2023-02-25,6,Active,6085
5000081,212829,Auto,6139.08,604.28,2025-07-01,2026-06-26,12,Active,6133
5000082,202488,Auto,24982.12,1577.14,2025-08-27,2026-08-22,12,Active,6186
5000083,214745,Health,94947.13,9552.23,2025-01-06,2026-01-01,12,Expired,6062
5000084,203873,Auto,5334.03,472.29,2024-01-05,2024-12-30,12,Active,6209
5000085,212371,Auto,17736.53,690.15,2024-07-28,2025-07-23,12,Expired,6124
5000086,204093,SME,86614.72,6674.52,2023-01-25,2024-01-20,12,Active,6184
5000087,201724,Auto,20432.27,815.39,2020-12-23,2021-12-18,12,Expired,6166
5000088,205631,Property,287470.75,24149.43,2024-02-13,2025-02-07,12,Active,6098
5000089,203918,Auto,20912.01,1682.88,2020-07-04,2021-06-29,12,Lapsed,6211
5000090,203302,SME,284223.98,18117.01,2023-08-07,2024-08-01,12,Expired,6128
5000091,211658,Health,39746.35,3824.22,2022-05-23,2023-05-18,12,Active,6140
5000092,214563,Property,378378.9,23131.76,2021-04-22,2022-04-17,12,Active,6113
5000093,212463,Auto,15603.86,474.73,2024-11-30,2025-11-25,12,Active,6152
5000094,209156,Auto,12800.98,1173.89,2021-04-15,2022-04-10,12,Cancelled,6107
5000095,209615,SME,172492.0,10494.68,2024-02-04,2025-01-29,12,Active,6039
5000096,213548,Health,20345.77,2390.07,2020-11-29,2021-11-24,12,Active,6057
5000097,213711,SME,191953.01,16243.15,2025-03-21,2026-03-16,12,Active,6068
5000098,209327,Health,63820.58,2123.61,2025-07-31,2026-07-26,12,Active,6149
5000099,201868,Auto,6521.88,326.32,2023-06-07,2024-06-01,12,Active,6133
5000100,211648,Auto,29750.06,837.42,2020-01-03,2020-12-28,12,Active,6051
5000101,200896,Property,94948.57,7528.06,2020-12-27,2021-12-22,12,Lapsed,6101
5000102,204891,Health,83601.28,4335.64,2023-12-19,2024-12-13,12,Active,6007
5000103,207601,Property,491825.49,28988.93,2023-03-23,2024-03-17,12,Active,6061
5000104,202902,Auto,24540.02,1189.93,2022-02-20,2023-02-15,12,Active,6015
5000105,210666,Health,92289.53,10280.24,2025-06-02,2026-05-28,12,Expired,6136
5000106,208954,Auto,10704.93,413.97,2025-03-30,2026-03-25,12,Active,6076
5000107,213762,Travel,24870.46,1351.69,2023-01-02,2023-07-01,6,Active,6180
5000108,212580,Auto,13318.22,1370.6,2022-11-30,2023-11-25,12,Active,6033
5000109,211611,Health,16463.02,1128.69,2020-10-16,2021-10-11,12,Active,6119
5000110,208618,Health,61517.43,6687.49,2021-11-02,2022-10-28,12,Expired,6161
5000111,213660,PersonalAccident,76503.15,8094.45,2022-08-19,2023-08-14,12,Lapsed,6140
5000112,202284,Property,187666.77,20944.29,2024-08-05,2025-07-31,12,Active,6018
5000113,207959,Auto,24741.27,903.23,2022-09-08,2023-09-03,12,Active,6060
5000114,206211,Property,484649.51,18610.28,2020-03-08,2021-03-03,12,Expired,6148
5000115,204187,Auto,9447.32,615.66,2021-12-11,2022-12-06,12,Active,6020
5000116,207596,Health,42306.94,2826.11,2020-06-08,2021-06-03,12,Lapsed,6205
5000117,201459,Health,49250.02,4054.23,2024-11-07,2025-11-02,12,Active,6175
5000118,209858,Travel,18038.91,801.42,2024-01-15,2024-07-13,6,Expired,6075
5000119,205629,Health,84788.71,8278.57,2025-02-04,2026-01-30,12,Active,6218
5000120,211784,Auto,26726.44,2198.21,2024-07-13,2025-07-08,12,Active,6000
5000121,208341,Health,96845.25,10468.01,2020-11-29,2021-11-24,12,Active,6083
5000122,206773,Travel,11589.44,810.74,2020-06-27,2020-12-24,6,Active,6117
5000123,210732,Auto,15805.2,705.04,2020-08-27,2021-08-22,12,Expired,6083
5000124,200160,PersonalAccident,47530.35,4505.11,2024-03-04,2025-02-27,12,Lapsed,6179
5000125,209853,Auto,9838.26,917.66,2021-05-22,2022-05-17,12,Active,6108
5000126,207009,Auto,4720.46,351.01,2022-08-03,2023-07-29,12,Active,6035
5000127,211214,Property,29493.62,2231.11,2020-08-15,2021-08-10,12,Active,6212
5000128,210124,Auto,29634.03,3512.96,2025-05-01,2026-04-26,12,Active,6030
5000129,206831,Auto,6511.8,598.44,2021-09-08,2022-09-03,12,Expired,6156
5000130,205844,Health,13389.04,1278.87,2021-07-06,2022-07-01,12,Active,6161
5000131,210656,Property,91684.57,3121.32,2021-06-15,2022-06-10,12,Expired,6196
5000132,208310,Health,49413.73,1583.67,2022-03-18,2023-03-13,12,Active,6103
5000133,206220,SME,190252.14,6666.0,2024-09-08,2025-09-03,12,Active,6184
5000134,207940,SME,168483.53,7051.92,2022-01-05,2022-12-31,12,Active,6172
5000135,201169,Health,49266.79,2424.53,2020-08-20,2021-08-15,12,Active,6181
5000136,210914,Auto,7422.65,684.95,2025-08-02,2026-07-28,12,Active,6075
5000137,206988,Health,12537.74,841.42,2020-06-16,2021-06-11,12,Active,6078
5000138,206951,Property,75408.64,1633.76,2023-11-27,2024-11-21,12,Lapsed,6021
5000139,206324,SME,248761.04,5665.43,2022-08-27,2023-08-22,12,Expired,6117
