ProviderID,ProviderName,Category,RegionID,Rating
900000,Provider_0000,Garage,6200,4.38
900001,Provider_0001,Diagnostics,6093,3.21
900002,Provider_0002,Hospital,6144,3.23
900003,Provider_0003,Garage,6022,4.36
900004,Provider_0004,Hospital,6006,3.42
900005,Provider_0005,TPA,6091,3.63
900006,Provider_0006,Hospital,6159,2.55
900007,Provider_0007,Hospital,6074,2.52
900008,Provider_0008,Garage,6109,3.81
900009,Provider_0009,Garage,6093,4.53
900010,Provider_0010,Garage,6168,4.18
900011,Provider_0011,Hospital,6012,4.14
900012,Provider_0012,Garage,6061,4.73
900013,Provider_0013,Diagnostics,6020,4.43
900014,Provider_0014,Garage,6182,3.26
900015,Provider_0015,TPA,6119,3.96
900016,Provider_0016,Clinic,6053,3.51
900017,Provider_0017,BodyShop,6118,4.51
900018,Provider_0018,Hospital,6003,3.1
900019,Provider_0019,Clinic,6001,2.81
900020,Provider_0020,Hospital,6184,4.67
900021,Provider_0021,TPA,6073,2.59
900022,Provider_0022,TPA,6037,4.49
900023,Provider_0023,Clinic,6124,2.79
900024,Provider_0024,BodyShop,6076,3.14
900025,Provider_0025,Garage,6145,2.88
900026,Provider_0026,Hospital,6131,4.01
900027,Provider_0027,Garage,6014,3.73
900028,Provider_0028,Garage,6097,3.01
900029,Provider_0029,TPA,6039,3.73
900030,Provider_0030,Clinic,6182,4.5
900031,Provider_0031,Clinic,6112,4.76
900032,Provider_0032,TPA,6074,2.89
900033,Provider_0033,Garage,6004,5.0
900034,Provider_0034,Garage,6062,3.21
900035,Provider_0035,TPA,6091,3.36
900036,Provider_0036,Hospital,6184,3.9
900037,Provider_0037,Hospital,6111,3.76
900038,Provider_0038,Garage,6047,4.29
900039,Provider_0039,TPA,6111,4.84
900040,Provider_0040,BodyShop,6178,2.77
900041,Provider_0041,TPA,6013,4.98
900042,Provider_0042,Hospital,6129,4.15
900043,Provider_0043,TPA,6097,3.31
900044,Provider_0044,Garage,6173,3.51
900045,Provider_0045,Clinic,6149,3.74
900046,Provider_0046,Hospital,6077,4.22
900047,Provider_0047,Diagnostics,6072,4.76
900048,Provider_0048,Garage,6105,2.83
900049,Provider_0049,Hospital,6185,4.29
900050,Provider_0050,TPA,6162,4.83
900051,Provider_0051,TPA,6179,2.96
900052,Provider_0052,Hospital,6120,3.9
900053,Provider_0053,TPA,6130,2.94
900054,Provider_0054,Diagnostics,6114,3.48
900055,Provider_0055,Hospital,6192,3.29
900056,Provider_0056,Hospital,6197,3.43
900057,Provider_0057,Clinic,6174,3.65
900058,Provider_0058,TPA,6027,3.47
900059,Provider_0059,Garage,6153,3.85
900060,Provider_0060,BodyShop,6112,3.71
900061,Provider_0061,Garage,6006,4.03
900062,Provider_0062,TPA,6047,2.82
900063,Provider_0063,Garage,6119,3.84
900064,Provider_0064,Hospital,6036,2.56
900065,Provider_0065,Garage,6166,3.41
900066,Provider_0066,Hospital,6033,4.04
900067,Provider_0067,Garage,6070,3.87
900068,Provider_0068,Hospital,6063,3.82
900069,Provider_0069,Garage,6185,2.91
900070,Provider_0070,Hospital,6134,4.78
900071,Provider_0071,Hospital,6092,3.51
900072,Provider_0072,Hospital,6018,2.73
900073,Provider_0073,Garage,6171,3.55
900074,Provider_0074,Clinic,6086,4.04
900075,Provider_0075,Clinic,6039,4.98
900076,Provider_0076,BodyShop,6165,3.24
900077,Provider_0077,Hospital,6133,2.79
900078,Provider_0078,Garage,6175,3.53
900079,Provider_0079,Garage,6178,3.65
900080,Provider_0080,Hospital,6020,4.64
900081,Provider_0081,Garage,6086,3.92
900082,Provider_0082,Clinic,6090,3.28
900083,Provider_0083,Hospital,6150,4.54
900084,Provider_0084,Garage,6163,3.27
900085,Provider_0085,Hospital,6155,4.95
900086,Provider_0086,Hospital,6023,3.72
900087,Provider_0087,Hospital,6155,4.28
900088,Provider_0088,Clinic,6017,3.8
